"Nazwa cała","R","Ilość dostępna","Stan","j.m.","Cena zakupu netto","Cena sprzedaży netto","Zarezerwowano","Indeks katalogowy","Indeks handlowy","Kod kreskowy","PLU","Cena zakupu brutto","Nazwa krótka","Nazwa oryg.","Cena sprzedaży brutto","Stan min.","Stan max.","Waga","Wysokość","Szerokość","Głębokość","Lokalizacja","Dostawcy dostarczą","Odbiorcy odbiorą","Zamiennik","Vat zak.","Vat sprz.","PKWiU","Marża [%]","F","Producent","Nr artykułu","S","Zał.","Wyróżnik","A","Indeks producenta","Kod CN","Kraj pochodzenia","JPK Klasyfikacja"
"AeroAdmin Corporate","Towar","0","0","szt.","2320.00","0.00","0","OPROGR00001","OPROGR00001"," ","0","2853.60","AeroAdmin Corporate","AeroAdmin Corporate","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","42","0","0"," ","0"," "," "," "," "
"Akumulator AGM Qoltec 12V | 7.2Ah","Towar","0","0","szt.","47.38","14.37","0","Spr000041","Spr000041"," ","0","58.28","Akumulator AGM Qoltec 12V | 7.2Ah","Akumulator AGM Qoltec 12V | 7.2Ah","17.68","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-229.71","0"," ","109","0","0"," ","0"," "," "," "," "
"Bitdefender AV Plus ESD 10 stan/12m","Towar","0","0","szt.","133.70","143.00","0","OPROGR00006","OPROGR00006"," ","0","164.45","Bitdefender AV Plus ESD 10 stan/12m","Bitdefender AV Plus ESD 10 stan/12m","175.89","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","6.50","0"," ","79","0","0"," ","0"," "," "," "," "
"Bitdefender AV Plus ESD 1stan/12m odn","Towar","0","0","szt.","43.00","143.00","0","OPROGR00011","OPROGR00011"," ","0","52.89","Bitdefender AV Plus ESD 1stan/12m odn","Bitdefender AV Plus ESD 1stan/12m odn","175.89","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","69.93","0"," ","114","0","0"," ","0"," "," "," "," "
"Bitdefender AV Plus ESD 3 stan/12m","Towar","0","0","szt.","80.10","143.00","0","OPROGR00007","OPROGR00007"," ","0","98.52","Bitdefender AV Plus ESD 3 stan/12m","Bitdefender AV Plus ESD 3 stan/12m","175.89","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","43.99","0"," ","86","0","0"," ","0"," "," "," "," "
"Bitdefender AV Plus ESD 5 stan/12m odn.","Towar","0","0","szt.","85.50","143.00","0","OPROGR00010","OPROGR00010"," ","0","105.17","Bitdefender AV Plus ESD 5 stan/12m odn.","Bitdefender AV Plus ESD 5 stan/12m odn.","175.89","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","40.21","0"," ","113","0","0"," ","0"," "," "," "," "
"Bitdefender Int. Sec. ESD 10 stan/12m","Towar","0","0","szt.","178.65","143.00","0","OPROGR00003","OPROGR00003"," ","0","219.74","Bitdefender Int. Sec. ESD 10 stan/12m","Bitdefender Int. Sec. ESD 10 stan/12m odn.","175.89","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-24.93","0"," ","61","0","0"," ","0"," "," "," "," "
"Bitdefender Int. Sec. ESD 10 stan/12m odn.","Towar","0","0","szt.","143.00","143.00","0","OPROGR00002","OPROGR00002"," ","0","175.89","Bitdefender Int. Sec. ESD 10 stan/12m","Bitdefender Int. Sec. ESD 10 stan/12m odn.","175.89","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","60","0","0"," ","0"," "," "," "," "
"CERTUM ścieżka ekspresowa - 24h","Usługa","0","0","szt.","0.00","100.00","0","CER000001","CER000001"," ","0","0.00","CERTUM ścieżka ekspresowa - 24h","CERTUM ścieżka ekspresowa - 24h","123.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","100.00","0"," ","3","0","0"," ","0"," "," "," "," "
"CERTUM ścieżka ekspresowa - 30 min.","Usługa","0","0","szt.","0.00","200.00","0","CER000002","CER000002"," ","0","0.00","CERTUM ścieżka ekspresowa - 30 min.","CERTUM ścieżka ekspresowa - 30min","246.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","100.00","0"," ","4","0","0"," ","0"," "," "," "," "
"Certyfikat Commercial SSL 1 rok","Towar","1","1","szt.","64.35","186.15","0","CER000026","CER000026"," ","0","79.15","Certyfikat Commercial SSL 1 rok","Certyfikat Commercial SSL 1 rok","228.96","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","65.43","0"," ","59","0","0"," ","0"," "," "," "," "
"Certyfikat e-mail ID Individual na 2 lata - wydanie","Towar","0","0","szt.","26.91","186.15","0","CER000003","CER000003"," ","0","33.10","Certyfikat e-mail ID Individual na 2","Certyfikat kwalifikowany - odnowienie 2 lata","228.96","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","85.54","0"," ","29","0","0"," ","0"," "," "," "," "
"Certyfikat kwalifikowany - odnowienie 1  rok","Towar","0","0","szt.","126.65","219.00","0","CER000024","CER000024"," ","0","155.78","Certyfikat kwalifikowany - odnowienie 1","Certyfikat kwalifikowany - odnowienie 1 rok","269.37","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","42.17","0"," ","57","0","0"," ","0"," "," "," "," "
"Certyfikat kwalifikowany - odnowienie 2 lata","Towar","0","0","szt.","186.15","219.00","0","CER000004","CER000004"," ","0","228.96","Certyfikat kwalifikowany - odnowienie 2","Certyfikat kwalifikowany - odnowienie 2 lata","269.37","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","22","0","0"," ","0"," "," "," "," "
"Certyfikat kwalifikowany - odnowienie 3 lata","Towar","1","1","szt.","254.15","299.00","0","CER000005","CER000005"," ","0","312.60","Certyfikat kwalifikowany - odnowienie 3","Certyfikat kwalifikowany - odnowienie 3 lata","367.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","23","0","0"," ","0"," "," "," "," "
"Certyfikat kwalifikowany dla kart cryptoCertum - na 1 rok","Towar","0","0","szt.","126.65","254.15","0","CER000027","CER000027"," ","0","155.78","Certyfikat kwalifikowany dla kart","Certyfikat kwalifikowany dla kart cryptoCertum - na 1 rok","312.60","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","50.17","0"," ","85","0","0"," ","0"," "," "," "," "
"Certyfikat kwalifikowany dla kart cryptoCertum - na 3 lata","Towar","1","1","szt.","254.15","254.15","0","CER000023","CER000023"," ","0","312.60","Certyfikat kwalifikowany dla kart","Certyfikat kwalifikowany dla kart cryptoCertum - na 3 lata","312.60","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","41","0","0"," ","0"," "," "," "," "
"Certyfikaty","Usługa","0","0","szt.","0.00","0.00","0","POZK000005","POZK000005"," ","0","0.00","Certyfikaty","Certyfikaty","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","30","0","0"," ","0"," "," "," "," "
"Czytnik ACR39T-A1","Towar","0","0","szt.","79.05","186.15","0","CER000006","CER000006"," ","0","97.23","Czytnik ACR39T-A1","Czytnik ACR39T-A1","228.96","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","57.53","0"," ","26","0","0"," ","0"," "," "," "," "
"Dell G15 5525 15,6""FHD/Ryzen 5 6600H/16GB/SSD512GB/RTX3050-4GB/W11","Towar","0","0","szt.","3699.00","3699.00","0","Spr000002","Spr000002"," ","0","4549.77","Dell G15 5525 15,6""FHD/Ryzen 5","Dell G15 5525 15,6""FHD/Ryzen 5 6600H/16GB/SSD512GB/RTX3050-4GB/W11","4549.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","32","0","0"," ","0"," "," "," "," "
"Dell G15 5525 15,6""FHD/Ryzen 5 6600H/8GB/SSD512GB/RTX3050-4GB/W11","Towar","0","0","szt.","3367.00","3699.00","0","Spr000004","Spr000004"," ","0","4141.41","Dell G15 5525 15,6""FHD/Ryzen 5","Dell G15 5525 15,6""FHD/Ryzen 5 6600H/8GB/SSD512GB/RTX3050-4GB/W11","4549.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","8.98","0"," ","39","0","0"," ","0"," "," "," "," "
"Dell Inspiron 3511 15,6""FHD/i5-1135G7/16GB/SSD512GB/IrisXe/W11","Towar","0","0","szt.","2591.84","3699.00","0","Spr000026","Spr000026"," ","0","3187.96","Dell Inspiron 3511 15,6""FHD/i5-1135G7/16","Dell Inspiron 3511 15,6""FHD/i5-1135G7/16GB/SSD512GB/IrisXe/W11","4549.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","29.93","0"," ","75","0","0"," ","0"," "," "," "," "
"Dell Vostro 5620 16""FHD+/i5-1240P/16GB/512GB/IrisXe/11PR","Towar","0","0","szt.","4012.63","3699.00","0","Spr000024","Spr000024"," ","0","4935.53","Dell Vostro 5620 16""FHD+/i5-1240P/16GB/5","Dell Vostro 5620 16""FHD+/i5-1240P/16GB/512GB/IrisXe/11PR","4549.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-8.48","0"," ","73","0","0"," ","0"," "," "," "," "
"Drukarka HP LaserJet Pro M501dn","Towar","0","0","szt.","1499.00","821.14","0","Spr000035","Spr000035"," ","0","1843.77","Drukarka HP LaserJet Pro M501dn","Drukarka HP LaserJet Pro M501dn","1010.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-82.55","0"," ","98","0","0"," ","0"," "," "," "," "
"Dysk SSD Silicon Power A55 256GB","Towar","0","0","szt.","57.85","19.50","0","Spr000029","Spr000029"," ","0","71.16","Dysk SSD Silicon Power A55 256GB","Dysk SSD Silicon Power A55 256GB","23.99","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-196.67","0"," ","82","0","0"," ","0"," "," "," "," "
"Dysk SSD Silicon Power A55 512GB","Towar","1","1","szt.","88.50","19.50","0","Spr000039","Spr000039"," ","0","108.86","Dysk SSD Silicon Power A55 512GB","Dysk SSD Silicon Power A55 512GB","23.99","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-353.85","0"," ","107","0","0"," ","0"," "," "," "," "
